id,timestamp,P_PV,P_Load,P_Grid,P_Akku,SOC,raw_json
11,1767293511,0.5206647962331772,-456.2753051757812,-0.1,489.9981994628906,33.7,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:51:51""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 456.13555908203125, ""SOC"": 33.7}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 489.9981994628906, ""P_Grid"": -0.1, ""P_Load"": -456.2753051757812, ""P_PV"": 0.5206647962331772, ""rel_Autonomy"": 100.0, ""rel_SelfConsumption"": 99.97808820966738}, ""version"": ""14""}"
12,1767293516,0.21280516684055328,-433.86878662109376,-8.2,497.52679443359375,33.7,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:51:56""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 440.69464111328125, ""SOC"": 33.7}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 497.52679443359375, ""P_Grid"": -8.2, ""P_Load"": -433.86878662109376, ""P_PV"": 0.21280516684055328, ""rel_Autonomy"": 100.0, ""rel_SelfConsumption"": 98.14508505278651}, ""version"": ""14""}"
13,1767293521,0.6521732211112976,-453.9892272949219,9.5,486.7267150878906,33.6,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:01""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 445.1719970703125, ""SOC"": 33.6}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 486.7267150878906, ""P_Grid"": 9.5, ""P_Load"": -453.9892272949219, ""P_PV"": 0.6521732211112976, ""rel_Autonomy"": 97.90743933361472, ""rel_SelfConsumption"": 100.0}, ""version"": ""14""}"
14,1767293526,0.44696444272994995,-449.55882568359374,0.7,497.337158203125,33.6,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:06""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 448.66607666015625, ""SOC"": 33.6}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 497.337158203125, ""P_Grid"": 0.7, ""P_Load"": -449.55882568359374, ""P_PV"": 0.44696444272994995, ""rel_Autonomy"": 99.84429179008207, ""rel_SelfConsumption"": 100.0}, ""version"": ""14""}"
15,1767293531,0.19944991916418076,-428.6508056640625,-4.8,476.9326171875,33.6,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:11""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 429.97540283203125, ""SOC"": 33.6}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 476.9326171875, ""P_Grid"": -4.8, ""P_Load"": -428.6508056640625, ""P_PV"": 0.19944991916418076, ""rel_Autonomy"": 100.0, ""rel_SelfConsumption"": 98.89260789522672}, ""version"": ""14""}"
16,1767293536,0.5255739837884903,-444.230078125,8.4,467.2327880859375,33.6,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:16""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 438.3655090332031, ""SOC"": 33.6}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 467.2327880859375, ""P_Grid"": 8.4, ""P_Load"": -444.230078125, ""P_PV"": 0.5255739837884903, ""rel_Autonomy"": 98.10908796733112, ""rel_SelfConsumption"": 100.0}, ""version"": ""14""}"
17,1767293541,0.27498021721839905,-435.42576904296874,-1.3,463.7183532714844,33.6,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:21""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 435.1781005859375, ""SOC"": 33.6}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 463.7183532714844, ""P_Grid"": -1.3, ""P_Load"": -435.42576904296874, ""P_PV"": 0.27498021721839905, ""rel_Autonomy"": 100.0, ""rel_SelfConsumption"": 99.70233036560934}, ""version"": ""14""}"
18,1767293546,0.5541034489870071,-438.63063354492186,5.2,466.9898376464844,33.6,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:26""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 435.0869140625, ""SOC"": 33.6}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 466.9898376464844, ""P_Grid"": 5.2, ""P_Load"": -438.63063354492186, ""P_PV"": 0.5541034489870071, ""rel_Autonomy"": 98.81449228523446, ""rel_SelfConsumption"": 100.0}, ""version"": ""14""}"
19,1767293551,0.588684007525444,-434.30552368164064,-0.7,487.25164794921875,33.6,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:31""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 435.0055236816406, ""SOC"": 33.6}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 487.25164794921875, ""P_Grid"": -0.7, ""P_Load"": -434.30552368164064, ""P_PV"": 0.588684007525444, ""rel_Autonomy"": 100.0, ""rel_SelfConsumption"": 99.83908250311958}, ""version"": ""14""}"
20,1767293556,0.23591356724500656,-439.67388916015625,5.0,454.22454833984375,33.6,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:36""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 435.56005859375, ""SOC"": 33.6}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 454.22454833984375, ""P_Grid"": 5.0, ""P_Load"": -439.67388916015625, ""P_PV"": 0.23591356724500656, ""rel_Autonomy"": 98.86279351053783, ""rel_SelfConsumption"": 100.0}, ""version"": ""14""}"
21,1767293562,0.6496793180704117,-435.9414367675781,0.0,476.3465881347656,33.6,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:42""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 435.2135009765625, ""SOC"": 33.6}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 476.3465881347656, ""P_Grid"": 0.0, ""P_Load"": -435.9414367675781, ""P_PV"": 0.6496793180704117, ""rel_Autonomy"": 100.0, ""rel_SelfConsumption"": 100.0}, ""version"": ""14""}"
22,1767293567,0.435977965593338,-427.09389038085936,3.2,449.7606506347656,33.6,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:47""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 423.96832275390625, ""SOC"": 33.6}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 449.7606506347656, ""P_Grid"": 3.2, ""P_Load"": -427.09389038085936, ""P_PV"": 0.435977965593338, ""rel_Autonomy"": 99.25075022797765, ""rel_SelfConsumption"": 100.0}, ""version"": ""14""}"
23,1767293572,0.15698590874671936,-435.9093078613281,4.4,453.49017333984375,33.5,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:52""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 432.1763916015625, ""SOC"": 33.5}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 453.49017333984375, ""P_Grid"": 4.4, ""P_Load"": -435.9093078613281, ""P_PV"": 0.15698590874671936, ""rel_Autonomy"": 98.99061572656308, ""rel_SelfConsumption"": 100.0}, ""version"": ""14""}"
24,1767293577,0.5943755209445953,-427.79371337890626,-1.2,464.4246826171875,33.5,"{""common"": {""datestamp"": ""01.01.2026"", ""timestamp"": ""19:52:57""}, ""inverters"": [{""BatMode"": 1, ""CID"": 0, ""DT"": 0, ""E_Total"": 460239.4888888889, ""ID"": 1, ""P"": 427.0881652832031, ""SOC"": 33.5}], ""site"": {""BackupMode"": false, ""BatteryStandby"": true, ""E_Day"": null, ""E_Total"": 460239.4888888889, ""E_Year"": null, ""MLoc"": 0, ""Mode"": ""bidirectional"", ""P_Akku"": 464.4246826171875, ""P_Grid"": -1.2, ""P_Load"": -427.79371337890626, ""P_PV"": 0.5943755209445953, ""rel_Autonomy"": 100.0, ""rel_SelfConsumption"": 99.72027562116276}, ""version"": ""14""}"
